No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1277,,,,Semi-Gloss Polish,FALSE,,PJA.33.10,STOOL FULL POLISH,27 Cm + 23 Cm + 46 Cm,55,0,https://drive.google.com/uc?export=view&id=1RHWTIm1LJDhuPYGp-QyB6yA3UVWngeoX
1278,,,,Semi-Gloss Polish,FALSE,,PJA.33.11,STOOL TOP POLISH,38 Cm + 25 Cm + 49 Cm,82,0,https://drive.google.com/uc?export=view&id=1bkUq-g1sCmIVAsSpfQAKRMPPyDuVWXD2
1279,,,,Semi-Gloss Polish,FALSE,,PJA.33.12,STOOL TOP POLISH,36 Cm + 25 Cm + 47 Cm,74,0,https://drive.google.com/uc?export=view&id=1dbb8nsGos3nYP1EA5VmT-QPHzOlzYSD2
1280,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.13,STOOL TOP POLISH,37 Cm + 26 Cm + 50 Cm,78,1,https://drive.google.com/uc?export=view&id=1XolyAWevhrIE3pYLSEl8vj2m1YUpThg4
1281,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.14,STOOL TOP POLISH,40 Cm + 30 Cm + 44 Cm,87,1,https://drive.google.com/uc?export=view&id=1tWXIBtvdTmaRR-4dRDJHyupUCn11XcZB
1282,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.15,STOOL FULL POLISH,33 Cm + 32 Cm + 45 Cm,85,1,https://drive.google.com/uc?export=view&id=1Q4HljMPkRSNKUp9OlB44IvrHNU2KEzL0
1283,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.16,STOOL FULL POLISH,32 Cm + 30 Cm + 46 Cm,75,1,https://drive.google.com/uc?export=view&id=1CnNpNXAu7PuplwtrLOELn6ihxm0pydB8
1284,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.17,STOOL FULL POLISH,32 Cm + 30 Cm + 45 Cm,80,1,https://drive.google.com/uc?export=view&id=1BDediQZHdpvUqibB0Nf5c-53Af4zn-Va
1285,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.18,STOOL FULL POLISH,34 Cm + 29 Cm + 45 Cm,94,1,https://drive.google.com/uc?export=view&id=1jj9qieTdyUUctg-x93NcKiq0wRnJxW3r
1286,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.19,STOOL FULL POLISH,31 Cm + 31 Cm + 46 Cm,85,1,https://drive.google.com/uc?export=view&id=1i2MWsSRMH4L0tpabOMUC3KIXUtnfZRfq
1287,,,,Semi-Gloss Polish,FALSE,,PJA.33.20,STOOL TOP POLISH,38 Cm + 26 Cm + 60 Cm,104,0,https://drive.google.com/uc?export=view&id=1AJ9lvYzG26tvD30okk5XclLZcyDXFwPh
1288,,,,Semi-Gloss Polish,FALSE,,PJA.33.21,STOOL TOP POLISH,33 Cm + 27 Cm + 70 Cm,107,0,https://drive.google.com/uc?export=view&id=1BfU-YgXzzAdk8pOb2o6Ab1yS48w8hJ6F
1289,,,,Semi-Gloss Polish,FALSE,,PJA.33.22,STOOL TOP POLISH,29 Cm + 25 Cm + 59 Cm,81,0,https://drive.google.com/uc?export=view&id=1aa8XSTj-TtQ1ABechtzd5YMVdrIkUuZU
1290,,,,Semi-Gloss Polish,FALSE,,PJA.33.23,STOOL TOP POLISH,28 Cm + 26 Cm + 64 Cm,84,0,https://drive.google.com/uc?export=view&id=1uHsnXGFYcilea5-2QviZQSpDKyzx73aq
1291,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.24,STOOL TOP POLISH,36 Cm + 27 Cm + 40 Cm,62,1,https://drive.google.com/uc?export=view&id=1g_fzb7lcbw3bDJHEm5r9Ns0tJDf4ZgOM
1292,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.25,STOOL TOP POLISH,36 Cm + 22 Cm + 40 Cm,55,1,https://drive.google.com/uc?export=view&id=1KjNOmudSCwk6GJkAk0nMq0SPMZnCh0oo
1293,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.26,STOOL TOP POLISH,33 Cm + 29 Cm + 42 Cm,60,1,https://drive.google.com/uc?export=view&id=1IUOluise_jqoa3hEAjImfnpbiHa29kah
1294,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.27,STOOL TOP POLISH,40 Cm + 27 Cm + 45 Cm,95,1,https://drive.google.com/uc?export=view&id=1pJsoKx6B0i-_Q-_glMSXKK_FcLNYTXsq
1295,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.28,STOOL TOP POLISH,35 Cm + 28 Cm + 52 Cm,64,1,https://drive.google.com/uc?export=view&id=1ROxIlpkks9GA80HzHQtZfsy0owokTsPV
1296,,,,Semi-Gloss Polish,FALSE,,PJA.33.29,STOOL TOP POLISH,38 Cm + 35 Cm + 52 Cm,116,0,https://drive.google.com/uc?export=view&id=1GeD5YjaJx7tWesQZQOAz4vCLQn5azt1C
1297,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.30,STOOL FULL POLISH,29 Cm + 29 Cm + 40 Cm,67,1,https://drive.google.com/uc?export=view&id=1gMkC3EBIrMMdMfzEblt-QOoDFJbmAH9L
1298,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.31,STOOL FULL POLISH,35 Cm + 30 Cm + 40 Cm,89,1,https://drive.google.com/uc?export=view&id=1B6htQkCD9lsbIg-4xuXqw83b4u6UqO8p
1299,,,,Semi-Gloss Polish,FALSE,,PJA.33.32,STOOL FULL POLISH,33 Cm + 29 Cm + 40 Cm,76,0,https://drive.google.com/uc?export=view&id=1_hf8EogOvmkL8qGx4tPASMsXHRouCVh0
1300,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.33,STOOL FULL POLISH,32 Cm + 27 Cm + 40 Cm,65,1,https://drive.google.com/uc?export=view&id=1f4Eco7IUdNp7kYP2bq5ojB_6XRfpt3bC
1301,,,,Semi-Gloss Polish,FALSE,,PJA.33.34,STOOL FULL POLISH,35 Cm + 34 Cm + 40 Cm,85,0,https://drive.google.com/uc?export=view&id=1kmKYHgLtNQBC3qPORUEs_JADxQdaUsro
1302,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.35,STOOL FULL POLISH,35 Cm + 32 Cm + 45 Cm,98,1,https://drive.google.com/uc?export=view&id=1ftC_AFhsJIpXhajcJx-gbq4AuwO8YBgE
1303,,,,Semi-Gloss Polish,FALSE,,PJA.33.36,STOOL FULL POLISH,35 Cm + 34 Cm + 46 Cm,110,0,https://drive.google.com/uc?export=view&id=10RxJif6F-9rbAzNXmfExcLX_z-g2nJgx
1304,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.37,STOOL FULL POLISH,35 Cm + 30 Cm + 46 Cm,82,1,https://drive.google.com/uc?export=view&id=1th485T6_g259J6qrGTnkfM2v45cv_xhN
1305,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.38,STOOL FULL POLISH,40 Cm + 31 Cm + 45 Cm,110,1,https://drive.google.com/uc?export=view&id=1dpgcL5e5g7Hk_eHshCaLGey1gNYX-WMx
1306,,,,Semi-Gloss Polish,FALSE,,PJA.33.39,STOOL FULL POLISH,37 Cm + 30 Cm + 46 Cm,84,0,https://drive.google.com/uc?export=view&id=12LmeDoDaK6OFRGeggX2Fw7ifyC1DF5OL
1307,,,,Semi-Gloss Polish,FALSE,,PJA.33.40,STOOL FULL POLISH,31 Cm + 31 Cm + 45 Cm,78,0,https://drive.google.com/uc?export=view&id=1SbpnZ79sbnQOhCNm-YA2huCWMQkU-J8o
1308,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.41,STOOL FULL POLISH,35 Cm + 35 Cm + 45 Cm,96,1,https://drive.google.com/uc?export=view&id=1ZqMTg0c8_IORSmTcKZJVp-gt28-Mj8-x
